Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,Leading_Candidate,Leading_Party,Trailing_Candidate,Trailing_Party,Margin,Round,Status,Timestamp
2026_RESULTS,Kerala,S11,115,S11-115,ADOOR,ADVOCATE C V SANTHAKUMAR,Indian National Congress,PRIJI KANNAN,Communist Party of India,123,2/17,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,104,S11-104,ALAPPUZHA,A.D THOMAS,Indian National Congress,P.P.CHITHARANJAN,Communist Party of India (Marxist),2909,2/16,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,60,S11-060,ALATHUR,T M SASI,Communist Party of India (Marxist),K M FEBIN,Indian National Congress,2958,4/13,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,76,S11-076,ALUVA,ANWAR SADATH,Indian National Congress,ADVOCATE A.M.ARIFF,Communist Party of India (Marxist),1591,1/18,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,105,S11-105,AMBALAPPUZHA,G.SUDHAKARAN,Independent,H. SALAM,Communist Party of India (Marxist),1576,1/14,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,75,S11-075,ANGAMALY,,,,,-,-,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,113,S11-113,ARANMULA,ABIN VARKEY KODIYATTU,Indian National Congress,VEENA GEORGE,Communist Party of India (Marxist),1940,2/20,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,102,S11-102,AROOR,ADV. SHANIMOL OSMAN,Indian National Congress,DALEEMA,Communist Party of India (Marxist),1826,1/15,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,136,S11-136,ARUVIKKARA,ADV. G. STEEPHEN,Communist Party of India (Marxist),V. S. SIVAKUMAR,Indian National Congress,241,4/20,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,128,S11-128,ATTINGAL,O.S AMBIKA,Communist Party of India (Marxist),ADV. P SUDHEER,Bharatiya Janata Party,1586,3/16,Result in Progress,2026-05-04 04:49:55
2026_RESULTS,Kerala,S11,10,S11-010,AZHIKODE,K. V. SUMESH,Communist Party of India (Marxist),ADV. KAREEM CHELERI,Indian Union Muslim League,3011,2/14,Result in Progress,2026-05-04 04:49:55
