Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,1,C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,2,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,3,RATHINAM,Naadaalum Makkal Katchi,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,4,KUMARAVELU,Tamilaga Vettri Kazhagam,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,5,K. SUNDARAVADIVELU,Naam Tamilar Katchi,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,6,L.G. SEKAR,Pattali Makkal Katchi,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,7,SELVAKUMAR .V,Independent,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,8,B. NARAYANAN,Independent,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,9,L. MANIVANNAN,Independent,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,10,A. RAGU @ RAGUNATHAN,Independent,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,11,VENKATESH BABU,Independent,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,12,NOTA,None of the Above,0,0,0,0.0,2026-05-04 09:21:23
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,1,C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,3031,0,3031,40.53,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,2,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,2971,0,2971,39.72,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,3,RATHINAM,Naadaalum Makkal Katchi,18,0,18,0.24,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,4,KUMARAVELU,Tamilaga Vettri Kazhagam,1234,0,1234,16.5,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,5,K. SUNDARAVADIVELU,Naam Tamilar Katchi,100,0,100,1.34,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,6,L.G. SEKAR,Pattali Makkal Katchi,5,0,5,0.07,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,7,SELVAKUMAR .V,Independent,27,0,27,0.36,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,8,B. NARAYANAN,Independent,2,0,2,0.03,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,9,L. MANIVANNAN,Independent,11,0,11,0.15,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,10,A. RAGU @ RAGUNATHAN,Independent,15,0,15,0.2,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,11,VENKATESH BABU,Independent,11,0,11,0.15,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,12,NOTA,None of the Above,54,0,54,0.72,2026-05-04 03:59:12
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,1,C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,5886,0,5886,40.48,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,2,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,5839,0,5839,40.16,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,3,RATHINAM,Naadaalum Makkal Katchi,54,0,54,0.37,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,4,KUMARAVELU,Tamilaga Vettri Kazhagam,2294,0,2294,15.78,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,5,K. SUNDARAVADIVELU,Naam Tamilar Katchi,169,0,169,1.16,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,6,L.G. SEKAR,Pattali Makkal Katchi,11,0,11,0.08,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,7,SELVAKUMAR .V,Independent,83,0,83,0.57,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,8,B. NARAYANAN,Independent,6,0,6,0.04,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,9,L. MANIVANNAN,Independent,22,0,22,0.15,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,10,A. RAGU @ RAGUNATHAN,Independent,31,0,31,0.21,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,11,VENKATESH BABU,Independent,22,0,22,0.15,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,12,NOTA,None of the Above,124,0,124,0.85,2026-05-04 04:30:59
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,1,C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,5886,359,6245,41.08,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,2,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,5839,214,6053,39.82,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,3,RATHINAM,Naadaalum Makkal Katchi,54,2,56,0.37,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,4,KUMARAVELU,Tamilaga Vettri Kazhagam,2294,58,2352,15.47,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,5,K. SUNDARAVADIVELU,Naam Tamilar Katchi,169,8,177,1.16,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,6,L.G. SEKAR,Pattali Makkal Katchi,11,2,13,0.09,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,7,SELVAKUMAR .V,Independent,83,4,87,0.57,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,8,B. NARAYANAN,Independent,6,2,8,0.05,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,9,L. MANIVANNAN,Independent,22,0,22,0.14,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,10,A. RAGU @ RAGUNATHAN,Independent,31,4,35,0.23,2026-05-04 04:56:57
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,11,VENKATESH BABU,Independent,22,1,23,0.15,2026-05-04 04:56:57
