Election_Id,State,State_Code,Party,Won,Leading,Total,Timestamp
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,2,2,2026-05-04 09:21:18
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 09:21:18
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,2,2,2026-05-04 09:23:53
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,0,1,1,2026-05-04 09:23:53
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 09:23:53
2026_RESULTS,Puducherry,U07,Independent - IND,0,1,1,2026-05-04 09:23:53
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,3,3,2026-05-04 03:59:06
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,0,1,1,2026-05-04 03:59:06
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 03:59:06
2026_RESULTS,Puducherry,U07,Independent - IND,0,1,1,2026-05-04 03:59:06
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,3,3,2026-05-04 04:00:53
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,0,1,1,2026-05-04 04:00:53
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 04:00:53
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,0,1,1,2026-05-04 04:00:53
2026_RESULTS,Puducherry,U07,Independent - IND,0,1,1,2026-05-04 04:00:53
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,0,4,4,2026-05-04 04:04:22
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,0,1,1,2026-05-04 04:04:22
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,0,1,1,2026-05-04 04:04:22
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,0,1,1,2026-05-04 04:04:22
