Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,Leading_Candidate,Leading_Party,Trailing_Candidate,Trailing_Party,Margin,Round,Status,Timestamp
2026_RESULTS,Puducherry,U07,19,U07-019,ARIANKUPPAM,C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,603,5/5,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,23,U07-023,BAHOUR,R. SENTHIL KUMAR,Dravida Munnetra Kazhagam,T. THIAGARAJAN,All India N.R. Congress,2397,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,21,U07-021,EMBALAM,E. MOHANDOSS,All India N.R. Congress,M. CANDASSAMY,Indian National Congress,4061,5/5,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,8,U07-008,INDIRA NAGAR,P.V. AROUMOUGAME @ AKD,All India N.R. Congress,S. MOUROUGANE,Tamilaga Vettri Kazhagam,584,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,7,U07-007,KADIRGAMAM,AZHAGU @ AZHAGANANTHAM,Independent,K.S.P @ S. RAMESH,All India N.R. Congress,7004,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,12,U07-012,KALAPET,SENTHIL @ RAMESH,Dravida Munnetra Kazhagam,P.M.L. KALYANASUNDARAM,Bharatiya Janata Party,447,6/6,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,10,U07-010,KAMARAJ NAGAR,JOSE CHARLES MARTIN,Latchiya Jananayaka Katchi (LJK),P.K. DEVADOSS,Indian National Congress,10205,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,26,U07-026,KARAIKAL NORTH,P.R.N. THIRUMURUGAN,All India N.R. Congress,A.M. RANJITH,Indian National Congress,2653,3/3,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,27,U07-027,KARAIKAL SOUTH,A.M.H. NAZEEM,Dravida Munnetra Kazhagam,AVS SAKTHIVEL PRABU,Indian National Congress,5862,3/3,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,11,U07-011,LAWSPET,V.P. SIVAKOLUNDHU,All India N.R. Congress,M. VAITHIANATHAN,Indian National Congress,1417,5/5,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,29,U07-029,MAHE,ADV. T. ASHOK KUMAR,Independent,RAMESH PARAMBATH,Indian National Congress,1115,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,20,U07-020,MANAVELY,B.RAMU,Tamilaga Vettri Kazhagam,EMBALAM SELVAM @ SELVAM. R,Bharatiya Janata Party,3093,5/5,Result Declared,2026-05-04 15:08:29
