Election_Id,State,State_Code,Party,Won,Leading,Total,Timestamp
2026_RESULTS,West Bengal,S25,Bharatiya Janata Party - BJP,15,185,200,2026-05-04 11:55:33
2026_RESULTS,West Bengal,S25,All India Trinamool Congress - AITC,6,81,87,2026-05-04 11:55:33
2026_RESULTS,West Bengal,S25,Indian National Congress - INC,0,2,2,2026-05-04 11:55:33
2026_RESULTS,West Bengal,S25,Aam Janata Unnayan party - AJUP,0,2,2,2026-05-04 11:55:33
2026_RESULTS,West Bengal,S25,Communist Party of India (Marxist) - CPI(M),0,1,1,2026-05-04 11:55:33
2026_RESULTS,West Bengal,S25,All India Secular Front - AISF,0,1,1,2026-05-04 11:55:33
2026_RESULTS,Tamil Nadu,S22,Tamilaga Vettri Kazhagam - TVK,15,94,109,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Dravida Munnetra Kazhagam - DMK,8,52,60,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,All India Anna Dravida Munnetra Kazhagam - ADMK,3,42,45,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Pattali Makkal Katchi - PMK,0,5,5,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Indian National Congress - INC,1,4,5,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Indian Union Muslim League - IUML,0,2,2,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Communist Party of India - CPI,1,1,2,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Communist Party of India (Marxist) - CPI(M),0,2,2,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Bharatiya Janata Party - BJP,0,1,1,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Desiya Murpokku Dravida Kazhagam - DMDK,0,1,1,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Viduthalai Chiruthaigal Katchi - VCK,0,1,1,2026-05-04 12:05:19
2026_RESULTS,Tamil Nadu,S22,Amma Makkal Munnettra Kazagam - AMMKMNKZ,0,1,1,2026-05-04 12:05:19
2026_RESULTS,Assam,S03,Bharatiya Janata Party - BJP,41,41,82,2026-05-04 12:12:37
2026_RESULTS,Assam,S03,Indian National Congress - INC,1,18,19,2026-05-04 12:12:37
2026_RESULTS,Assam,S03,Bodoland Peoples Front - BOPF,5,5,10,2026-05-04 12:12:37
2026_RESULTS,Assam,S03,Asom Gana Parishad - AGP,3,7,10,2026-05-04 12:12:37
2026_RESULTS,Assam,S03,All India United Democratic Front - AIUDF,1,1,2,2026-05-04 12:12:37
2026_RESULTS,Assam,S03,Raijor Dal - RJRD,0,2,2,2026-05-04 12:12:37
2026_RESULTS,Assam,S03,All India Trinamool Congress - AITC,0,1,1,2026-05-04 12:12:37
2026_RESULTS,Kerala,S11,Indian National Congress - INC,56,7,63,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Communist Party of India (Marxist) - CPI(M),24,2,26,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Indian Union Muslim League - IUML,18,4,22,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Communist Party of India - CPI,7,1,8,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Kerala Congress - KEC,6,1,7,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Revolutionary Socialist Party - RSP,3,0,3,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Bharatiya Janata Party - BJP,3,0,3,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Rashtriya Janata Dal - RJD,1,0,1,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Revolutionary Marxist Party of India - RMPOI,1,0,1,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Kerala Congress (Jacob) - KEC(J),1,0,1,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Communist Marxist Party Kerala State Committee - CMPKSC,1,0,1,2026-05-04 12:15:03
2026_RESULTS,Kerala,S11,Independent - IND,3,1,4,2026-05-04 12:15:03
2026_RESULTS,Puducherry,U07,All India N.R. Congress - AINRC,9,2,11,2026-05-04 12:15:33
2026_RESULTS,Puducherry,U07,Dravida Munnetra Kazhagam - DMK,2,3,5,2026-05-04 12:15:33
2026_RESULTS,Puducherry,U07,Bharatiya Janata Party - BJP,2,2,4,2026-05-04 12:15:33
2026_RESULTS,Puducherry,U07,Tamilaga Vettri Kazhagam - TVK,2,1,3,2026-05-04 12:15:33
2026_RESULTS,Puducherry,U07,Indian National Congress - INC,1,0,1,2026-05-04 12:15:33
2026_RESULTS,Puducherry,U07,Latchiya Jananayaka Katchi (LJK) - LJK,1,0,1,2026-05-04 12:15:33
2026_RESULTS,Puducherry,U07,All India Anna Dravida Munnetra Kazhagam - ADMK,1,0,1,2026-05-04 12:15:33
2026_RESULTS,Puducherry,U07,Neyam Makkal Kazhagam - NYMK,1,0,1,2026-05-04 12:15:33
2026_RESULTS,Puducherry,U07,Independent - IND,3,0,3,2026-05-04 12:15:33
